Symbol,Yahoo Symbol,Company,Price,Trailing P/E,Forward P/E,Market Cap,Beta,Dividend Rate,Dividend Yield,Currency,Quote Type,Sector,Industry,Weight
JCI,JCI,Johnson Controls International ,145.08,48.848484,26.050467,88798560256.0,1.402,1.6,1.1,USD,EQUITY,Industrials,Building Products & Equipment,0.0009607083648975
GWW,GWW,"W.W. Grainger, Inc.",1148.62,32.465233,23.636765,54364164096.0,1.092,9.27,0.81,USD,EQUITY,Industrials,Industrial Distribution,0.0009576276616746
NSC,NSC,Norfolk Southern Corporation,315.9,26.590908,23.435743,70949240832.0,1.31,5.4,1.71,USD,EQUITY,Industrials,Railroads,0.0009530709769936
PSA,PSA,Public Storage,301.55,31.151857,29.93043,52935815168.0,0.999,12.0,3.98,USD,EQUITY,Real Estate,REIT - Industrial,0.000937649701054
SLB,SLB,SLB Limited,56.92,25.07489,17.036049,85098676224.0,0.695,1.18,2.07,USD,EQUITY,Energy,Oil & Gas Equipment & Services,0.0009357164593759
AMP,AMP,"Ameriprise Financial, Inc.",467.19,11.641913,9.85521,42093817856.0,1.266,6.8,1.46,USD,EQUITY,Financial Services,Asset Management,0.0009287703781801
ALL,ALL,Allstate Corporation (The),216.59,4.791814,8.325607,55754797056.0,0.224,4.32,1.99,USD,EQUITY,Financial Services,Insurance - Property & Casualty,0.0009221471425966
FICO,FICO,Fair Isaac Corporation,1035.5,32.78974,19.192627,24014182400.0,1.376,,,USD,EQUITY,Technology,Software - Application,0.0009159527220365
MNST,MNST,Monster Beverage Corporation,77.12,39.75258,30.417534,75416117248.0,0.509,,,USD,EQUITY,Consumer Defensive,Beverages - Non-Alcoholic,0.000904937872343
PAYX,PAYX,"Paychex, Inc.",93.02,20.534214,15.76554,33328216064.0,,4.32,4.64,USD,EQUITY,Technology,Software - Application,0.0009039385321586
CHTR,CHTR,"Charter Communications, Inc.",171.74,4.646645,3.8840213,24245972992.0,1.026,,,USD,EQUITY,Communication Services,Telecom Services,0.0008991615814345
